Entity,Code,Year,MaleFemaleRatio
Afghanistan,AFG,2004,0.566015727
Albania,ALB,2004,1.539476417
Algeria,DZA,2004,1.118297833
Andorra,AND,2004,2.772599151
Angola,AGO,2004,2.636720505
Argentina,ARG,2004,4.059352666
Armenia,ARM,2004,4.144052589
Australia,AUS,2004,3.8622851
Austria,AUT,2004,3.745922894
Azerbaijan,AZE,2004,4.273433111
Bahamas,BHS,2004,3.254148553
Bahrain,BHR,2004,9.134470428
Bangladesh,BGD,2004,1.028665298
Barbados,BRB,2004,7.869119819
Belarus,BLR,2004,6.753238872
Belgium,BEL,2004,2.940503416
Belize,BLZ,2004,9.263307815
Benin,BEN,2004,1.800661464
Bhutan,BTN,2004,1.441894759
Bolivia,BOL,2004,2.523503945
Bosnia and Herzegovina,BIH,2004,3.019754723
Botswana,BWA,2004,1.467757614
Brazil,BRA,2004,4.012724463
Brunei,BRN,2004,6.169003659
Bulgaria,BGR,2004,3.439459096
Burkina Faso,BFA,2004,1.961632006
Burundi,BDI,2004,3.20470341
Cambodia,KHM,2004,2.039543181
Cameroon,CMR,2004,1.738670792
Canada,CAN,2004,3.200613931
Cape Verde,CPV,2004,1.454915803
Central African Republic,CAF,2004,2.171511745
Chad,TCD,2004,2.136581112
Chile,CHL,2004,5.810107581
China,CHN,2004,0.886915577
Colombia,COL,2004,4.078353042
Comoros,COM,2004,1.741889996
Congo,COG,2004,1.889938467
Cook Islands,COK,2004,1.626312194
Costa Rica,CRI,2004,6.522532033
Cote d'Ivoire,CIV,2004,2.370370419
Croatia,HRV,2004,3.37384878
Cuba,CUB,2004,3.117771945
Cyprus,CYP,2004,3.557614958
Czech Republic,CZE,2004,5.327087639
Democratic Republic of Congo,COD,2004,3.13927733
Denmark,DNK,2004,2.584449344
Djibouti,DJI,2004,1.37872363
Dominica,DMA,2004,5.676514798
Dominican Republic,DOM,2004,4.303151319
Ecuador,ECU,2004,2.643761066
Egypt,EGY,2004,1.256994462
El Salvador,SLV,2004,3.18823108
Equatorial Guinea,GNQ,2004,1.887995474
Eritrea,ERI,2004,1.84275296
Estonia,EST,2004,5.965503758
Ethiopia,ETH,2004,2.341155206
Fiji,FJI,2004,1.378319052
Finland,FIN,2004,3.326324471
France,FRA,2004,2.95055932
Gabon,GAB,2004,1.524788381
Gambia,GMB,2004,1.796989903
Georgia,GEO,2004,3.788445906
Germany,DEU,2004,3.467389701
Ghana,GHA,2004,1.265766905
Greece,GRC,2004,4.436214924
Grenada,GRD,2004,21.40290984
Guatemala,GTM,2004,3.318577483
Guinea,GIN,2004,1.772854089
Guinea-Bissau,GNB,2004,2.221801504
Guyana,GUY,2004,2.356663202
Haiti,HTI,2004,2.074306229
Honduras,HND,2004,1.982384683
Hungary,HUN,2004,4.134554797
Iceland,ISL,2004,2.904866045
India,IND,2004,1.585035842
Indonesia,IDN,2004,1.477976233
Iran,IRN,2004,1.329288785
Iraq,IRQ,2004,3.042333818
Ireland,IRL,2004,5.382091413
Israel,ISR,2004,3.820842776
Italy,ITA,2004,3.802960633
Jamaica,JAM,2004,2.799214234
Japan,JPN,2004,2.942084213
Jordan,JOR,2004,2.630502343
Kazakhstan,KAZ,2004,6.042292619
Kenya,KEN,2004,1.886605931
Kuwait,KWT,2004,1.48732201
Kyrgyzstan,KGZ,2004,5.558093298
Laos,LAO,2004,1.223519639
Latvia,LVA,2004,6.06133563
Lebanon,LBN,2004,1.224345145
Lesotho,LSO,2004,1.809793721
Liberia,LBR,2004,2.876893769
Libya,LBY,2004,1.225710376
Lithuania,LTU,2004,5.63534718
Luxembourg,LUX,2004,3.394283323
Macedonia,MKD,2004,3.695168165
Madagascar,MDG,2004,1.769818735
Malawi,MWI,2004,2.172796069
Malaysia,MYS,2004,2.153611645
Maldives,MDV,2004,1.248517624
Mali,MLI,2004,2.392694628
Malta,MLT,2004,2.281783775
Marshall Islands,MHL,2004,1.062101027
Mauritania,MRT,2004,1.79935687
Mauritius,MUS,2004,3.513487711
Mexico,MEX,2004,5.612307792
Micronesia (country),FSM,2004,1.10338456
Moldova,MDA,2004,6.016782013
Monaco,MCO,2004,2.425708119
Mongolia,MNG,2004,3.858107867
Morocco,MAR,2004,1.0050237
Mozambique,MOZ,2004,1.898179484
Myanmar,MMR,2004,1.398082086
Namibia,NAM,2004,1.734348334
Nauru,NRU,2004,0
Nepal,NPL,2004,1.125403856
Netherlands,NLD,2004,2.261974111
New Zealand,NZL,2004,3.511448179
Nicaragua,NIC,2004,3.715417387
Niger,NER,2004,2.585855798
Nigeria,NGA,2004,1.960473789
Niue,NIU,2004,1.309860577
North Korea,PRK,2004,1.455231028
Norway,NOR,2004,2.157884878
Oman,OMN,2004,11.30264588
Pakistan,PAK,2004,0.982860794
Palau,PLW,2004,1.337889492
Panama,PAN,2004,4.74316545
Papua New Guinea,PNG,2004,1.39192633
Paraguay,PRY,2004,2.350272649
Peru,PER,2004,2.054939315
Philippines,PHL,2004,2.959846786
Poland,POL,2004,6.430354399
Portugal,PRT,2004,4.071281709
Qatar,QAT,2004,2.834739645
Romania,ROU,2004,5.973994349
Russia,RUS,2004,6.406076351
Rwanda,RWA,2004,2.241193692
Saint Lucia,LCA,2004,3.937635286
Saint Vincent and the Grenadines,VCT,2004,6.398607653
Samoa,WSM,2004,1.067897852
San Marino,SMR,2004,7.604204375
Sao Tome and Principe,STP,2004,3.496785929
Saudi Arabia,SAU,2004,6.177698652
Senegal,SEN,2004,1.784673962
Serbia,SRB,2004,3.207562626
Serbia and Montenegro,OWID_SRM,2004,2.770930828
Seychelles,SYC,2004,104.514093
Sierra Leone,SLE,2004,3.095580154
Singapore,SGP,2004,1.671576762
Slovakia,SVK,2004,5.729718497
Slovenia,SVN,2004,2.913347755
Solomon Islands,SLB,2004,1.210843102
Somalia,SOM,2004,1.224466899
South Africa,ZAF,2004,3.572724282
South Korea,KOR,2004,2.503533298
Spain,ESP,2004,3.38880377
Sri Lanka,LKA,2004,3.931918745
Sudan,SDN,2004,2.295012478
Suriname,SUR,2004,3.423247217
Swaziland,SWZ,2004,1.41150863
Sweden,SWE,2004,2.658866463
Switzerland,CHE,2004,2.358507487
